Event,Distance,Age,Male Event,Female Event
Fly,50,18,1,2
Fly,50,17,1,4
Fly,50,16,1,6
Fly,50,15,1,8
Fly,50,14,3,10
Fly,50,13,3,
Fly,25,12,5,
Fly,25,11,5,
Fly,25,10,7,
Fly,25,9,7,
Fly,25,8,9,
Fly,25,7,9,
Fly,25,6,9,
Free Relay,200,15-18,11,12
Free Relay,200,13-14,13,14
Free Relay,100,11-12,15,16
Free Relay,100,9-10,17,18
Free Relay,100,0-8,19,20
IM,200,15-18,21,22
IM,200,13-14,23,24
IM,100,11-12,25,26
IM,100,9-10,27,28
IM,100,0-8,29,30
S Free,50,15-18,31,32
S Free,50,13-14,33,34
S Free,25,11-12,35,36
S Free,25,9-10,37,38
S Free,25,0-8,39,40
Back,50,15-18,41,42
Back,50,13-14,43,44
Back,25,11-12,45,46
Back,25,9-10,47,48
Back,25,0-8,49,50
Medley Relay,200,15-18,51,52
Medley Relay,200,13-14,53,54
Medley Relay,100,11-12,55,56
Medley Relay,100,9-10,57,58
Medley Relay,100,0-8,59,60
Breast,50,15-18,61,62
Breast,50,13-14,63,64
Breast,25,11-12,65,66
Breast,25,9-10,67,68
Breast,25,0-8,69,70
L Free,100,15-18,71,72
L Free,100,13-14,73,74
L Free,50,11-12,75,76
L Free,50,9-10,77,78
L Free,50,0-8,79,80